session,bbid,sponsor,date of vote, title, url
2018-2019,231,John Collins-Muhammad,04/15/2019,An ordinance enacted pursuant to Section 56.540 Revised Statutes of Missouri to repeal  Ordinance No. 70056 relating to the Office of the Circuit Attorney of the City of St. Louis allocating the positions established by Section 56.540 R.S.Mo. to c,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13271
2018-2019,26,Christine Ingrassia,04/15/2019,Enforcement of code violations related to buildings structures and premises in the City; by amending Ordinance 70737 S,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11071
2018-2019,136,Joseph Vaccaro,04/15/2019,Recreational Fire,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11202
2018-2019,155,Terry Kennedy,04/15/2019,An ordinance repealing Section One of Ordinance 63915 and in lieu thereof enacting a new Section One authorizing and directing the Director of Streets to permanently close barricade or otherwise impede the flow of traffic on Enright Avenue by bloc,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11221
2018-2019,156,Terry Kennedy,04/15/2019,An ordinance authorizing and directing the Director of Streets to permanently close barricade or otherwise impede the flow of traffic on Washington Avenue by blocking said flow at the west curb line of Newstead Avenue; and containing an emergency c,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11222
2018-2019,175,Jack Coatar,04/15/2019,Front Page Lofts,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11242
2018-2019,186,Brandon Bosley,04/15/2019,Redevelopment Plan for 3861 St. Louis Ave,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11252
2018-2019,187,Terry Kennedy,04/15/2019,Redevelopment Plan for 4965-67 Dr. Martin Luther King Jr,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11253
2018-2019,188,Christine Ingrassia,04/15/2019,Tower Grove East Neighborhood,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11254
2018-2019,192,Marlene E Davis,04/15/2019,Olive West Planned Unit Development District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11259
2018-2019,195,Tom Oldenburg,04/15/2019,Lighthouse Area Special Use District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11262
2018-2019,196,Tom Oldenburg,04/15/2019,Defining terms Micro Wireless Facilities Small Wireless Utility Station Utility Towers,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11263
2018-2019,198,Tom Oldenburg,04/15/2019,Central West End Form Based District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11264
2018-2019,199,Marlene E Davis,04/15/2019,Redevelopment Plan for 3000 Locust,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11265
2018-2019,205,Joseph Vollmer,04/15/2019,Redevelopment Plan for 1929 Edwards & 5210 Daggett,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11271
2018-2019,206,Joseph Vollmer,04/15/2019,Redevelopment Plan for 5126 Daggett & 5135 Daggett,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11272
2018-2019,208,Christine Ingrassia,04/15/2019,Redevelopment Plan for 2647-2653 Locust,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11274
2018-2019,209,Cara Spencer,04/15/2019,Redevelopment Plan for 3535 Michigan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11275
2018-2019,210,Joseph D Roddy,04/15/2019,Redevelopment Plan for 4325-4333 Swan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11276
2018-2019,211,Dan Guenther,04/15/2019,Redevelopment Plan for 2821-23 Iowa,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11277
2018-2019,212,Christine Ingrassia,04/15/2019,Women Inmate Health,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11278
2018-2019,218,Joseph Vollmer,04/15/2019,Redevelopment Plan for 5726 Reber,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11283
2018-2019,197,Tom Oldenburg,04/15/2019,An Ordinance recommended by the Planning Commission pertaining to the Forest Park Southeast Form Based District (The “District”); amending Ordinance 70732 by amending the definition for utility / communication uses and repealing and replacing table,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11284
2018-2019,220,Lewis E Reed,04/15/2019,Redevelopment Plan for 5467-5559 Delmar,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13260
2018-2019,221,Heather Navarro,04/15/2019,Redevelopment Plan for 5539-5551 Pershing,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13261
2018-2019,229,Carol Howard,04/15/2019,An Ordinance repealing Section One of Ordinance 48889 codified as Section 8.10.060 of the Revised Code of the City of St. Louis pertaining to the payment and discount of a tax imposed on cigarette merchants and enacting in lieu thereof a new Secti,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13269
2018-2019,233,Larry Arnowitz,04/15/2019,Grant for Fall Prevention,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13273
2018-2019,234,Larry Arnowitz,04/15/2019,Missouri Alliance of Area Agencies on Aging,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13274
2018-2019,235,Terry Kennedy,04/15/2019,Modifying Liquor Control District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13275
2018-2019,236,Joseph D Roddy,04/15/2019,Vacation Petition,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13276
2018-2019,191,Marlene E Davis,04/15/2019,Transfer of funds from DSSF to Airport Revenue Fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11258
2018-2019,222,Jeffrey L Boyd,04/15/2019,An Ordinance recommended by the Board of Estimate and Apportionment of The City of St. Louis Missouri authorizing and directing The City of St. Louis Missouri (as further defined herein the “City”) to issue and sell its general obligation bonds in,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13262
2018-2019,166,Joseph D Roddy,04/15/2019,Annual TIF Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11232
2018-2019,9,Christine Ingrassia,02/01/2019,An ordinance to revise Ordinance 70736 approved March 2 2018 pertaining to the collection of administrative citation fines assessed by the Building Commissioner; containing a severability clause and an emergency clause.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11112
2018-2019,78,Samuel L Moore,02/01/2019,Redevelopment Plan for the 2615 Billups,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11138
2018-2019,96,Christine Ingrassia,02/01/2019,An ordinance approving a Redevelopment Plan for the 2200-2218 Washington Ave. (,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11156
2018-2019,97,Samuel L Moore,02/01/2019,An ordinance approving a Redevelopment Plan for the 4338 4341 and 4345 Evans Ave. Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11157
2018-2019,170,Jeffrey L Boyd,02/01/2019,Conviction Integrity Unit,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11237
2018-2019,185,Joseph Vaccaro,02/01/2019,4 Way Stop Site @ McCausland & Bancroft,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11251
2018-2019,189,Christine Ingrassia,02/01/2019,Lafayette Square Historic District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11255
2018-2019,194,Samuel L Moore,02/01/2019,Redevelopment Plan for Cottage/N. Taylor/Maffitt/Cora,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11261
2018-2019,200,Joseph D Roddy,02/01/2019,Central West End Southeast Special Business District Extending Period to Collect Taxes,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11266
2018-2019,201,Joseph D Roddy,02/01/2019,Central West End Southeast Special Business District Extending the Levy of Tax on Properties,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11267
2018-2019,202,Shane Cohn,02/01/2019,Redevelopment Plan for Meramec/S. Compton/Bates/S. Grand,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11268
2018-2019,203,Christine Ingrassia,02/01/2019,Bike Share Fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11269
2018-2019,204,Tom Oldenburg,02/01/2019,Amending Small Wireless Facilities,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11270
2018-2019,207,Jack Coatar,02/01/2019,Redevelopment Plan for 200 N. 4th St,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11273
2018-2019,213,Heather Navarro,02/01/2019,Skinker-Fauquier Parking District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11279
2018-2019,214,Samuel L Moore,02/01/2019,Establishing a Three-Way Stop Site at Warne & Lexington,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=12261
2018-2019,223,Jeffrey L Boyd,02/01/2019,MOU with United States Attorney's Office,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13263
2018-2019,224,Jeffrey L Boyd,02/01/2019,Dig Once,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13264
2018-2019,225,Tom Oldenburg,02/01/2019,An Ordinance adding a new Chapter under Title 25 the Building Code to be known as “Small Wireless Facilities and Micro Wireless Facilities;” containing a severability clause and an emergency clause.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13265
2018-2019,226,Heather Navarro,02/01/2019,Argyle Special Allocation Fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13266
2018-2019,228,Joseph Vollmer,02/01/2019,AN ORDINANCE APPROVING THE PETITION TO AMEND THE PETITION TO ESTABLISH THE LA COLLINA COMMUNITY IMPROVEMENT DISTRICT FINDING A PUBLIC PURPOSE FOR THE PETITION TO AMEND THE PETITION TO ESTABLISH THE LA COLLINA COMMUNITY IMPROVEMENT DISTRICT AND CON,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13268
2018-2019,230,Samuel L Moore,02/01/2019,Honorary Street Naming of Ms. Norma Jean Bell Way,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13270
2018-2019,101,Tammika Hubbard,01/25/2019,Al’s Restaurant located at 1200 N. 1st Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11161
2018-2019,161,Christine Ingrassia,01/25/2019,Lafayette Square Special Use District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11227
2018-2019,190,Marlene E Davis,01/25/2019,Improvement Program at St. Louis Lambert Airport,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11257
2018-2019,193,Marlene E Davis,01/25/2019,Second Restated and Amended Lease Agreement Northern Tract Site,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11260
2018-2019,143,Heather Navarro,01/18/2019,Cathedral Special Business District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11209
2018-2019,148,Heather Navarro,01/18/2019,CWE North Special Business District Renewal,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11213
2018-2019,159,Frank Williamson,01/18/2019,Honorary Street Name Von Verson,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11224
2018-2019,165,Marlene E Davis,01/18/2019,Honorary Street Renaming Cedric the Entertainer,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11231
2018-2019,178,Scott Ogilvie,01/18/2019,Irrevocable Easement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11245
2018-2019,179,Larry Arnowitz,01/18/2019,Two-Way stop site at Adkins & Poepping,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11246
2018-2019,181,Jeffrey L Boyd,01/18/2019,3 way stop site Blackstone & Wells,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11248
2018-2019,167,Larry Arnowitz,01/11/2019,Honorary Street Name for Estella Daly,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11233
2018-2019,172,Sarah Martin,01/11/2019,An ordinance recommended by the Board of Public Service to conditionally vacate above surface surface and sub-surface rights for vehicle equestrian and pedes¬trian travel in the southern 169 feet of the 15.00 foot wide north/south alley bounded by,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11239
2018-2019,174,Carol Howard,01/11/2019,An Ordinance establishing a stop site at the intersection of Ridgewood Avenue and Wilcox Avenue regulating all traffic traveling westbound on Wilcox Avenue at Ridgewood and containing an emergency clause.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11241
2018-2019,29,Marlene E Davis,12/14/2018,An ordinance approving a Redevelopment Plan for the Tiffany Neighborhood Scattered Sites Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11074
2018-2019,28,Marlene E Davis,12/14/2018,Redevelopment Plan for the 2647-2651 Washington Blvd,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11088
2018-2019,51,Christine Ingrassia,12/14/2018,First Amendment to Redevelopment Agreement between The 	City and ROL Capital III Inc,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11110
2018-2019,72,Lewis E Reed,12/14/2018,An ordinance revising The Transparency in Government Law Ordinance 69707 and Ordinance 70321,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11132
2018-2019,99,Scott Ogilvie,12/14/2018,AN ORDINANCE RECOMMENDED BY THE BOARD OF PUBLIC SERVICE AUTHORIZING THE MAYOR AND COMPTROLLER OF THE CITY OF ST. LOUIS TO EXECUTE AN EASEMENT AGREEMENT WHICH SHALL GIVE GRANT EXTEND AND CONFER IN PERPETUITY ON THE CITY ITS AGENTS SUCCESSORS AND,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11159
2018-2019,109,John Collins-Muhammad,12/14/2018,Disconnected youth task force,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11172
2018-2019,114,Marlene E Davis,12/14/2018,Redevelopment Plan for the 2811-15 Locust Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11178
2018-2019,125,Joseph Vaccaro,12/14/2018,An ordinance approving a Redevelopment Plan for the 5550 Fyler Ave. Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11191
2018-2019,126,Cara Spencer,12/14/2018,An ordinance approving a Redevelopment Plan for the 3521 3526 3527 and 3534 Oregon Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11192
2018-2019,127,Marlene E Davis,12/14/2018,An ordinance approving a Redevelopment Plan for the 1815 Locust St.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11193
2018-2019,131,Cara Spencer,12/14/2018,An ordinance approving a Redevelopment Plan for the 3107 Meramec St. ("Area"),https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11197
2018-2019,138,Joseph D Roddy,12/14/2018,4328 Swan Redevelopment Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11204
2018-2019,160,Joseph D Roddy,12/14/2018,Honorary Street Name Bob Gibson,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11225
2018-2019,158,Joseph Vollmer,12/14/2018,3120 Alfred Quit Deed,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11226
2018-2019,162,Annie Rice,12/14/2018,An ordinance approving a Redevelopment Plan for the 4102 Shaw Blvd.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11228
2018-2019,168,Cara Spencer,12/14/2018,An ordinance approving a Redevelopment Plan for the 3555-3559 California Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11234
2018-2019,169,Larry Arnowitz,12/14/2018,Opioid Crisis,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11235
2018-2019,163,Carol Howard,12/14/2018,Dog Bite,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11236
2018-2019,133,Jack Coatar,12/14/2018,An ordinance (the “Ordinance”) recommended by the Board of Estimate and Apportionment of the City (the “Board of Estimate and Apportionment”) and the Board of Public Service of The City of St. Louis Missouri (the “City”) authorizing the St. Louis Mu,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11199
2018-2019,157,Christine Ingrassia,12/14/2018,An ordinance approving a blighting study and redevelopment plan dated April 2 2018 for the Chouteau Ave./ Jefferson Ave./ La Salle St./Missouri Ave./ Hickory St./ Mackay Place Redevelopment Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11223
2018-2019,173,Tom Oldenburg,12/14/2018,Small Wireless Facilities,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11240
2018-2019,129,Frank Williamson,11/30/2018,Rezoning in City Block 5520 (401-33 Debaliviere Avenue),https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11195
2018-2019,150,Christine Ingrassia,11/30/2018,An ordinance recommended by the Board of Public Service to conditionally vacate above surface surface and sub-surface rights for vehicle equestrian and pedes¬trian travel in the 10 foot wide north/south alley the remaining portion of the 20 foot w,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11216
2018-2019,152,Marlene E Davis,11/30/2018,Honorary Street Name Rev Dr. W.H. Goatley Jr.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11218
2018-2019,122,Joseph D Roddy,11/30/2018,An ordinance recommended by the Board of Estimate and Apportionment authorizing the Mayor of the City of St. Louis on behalf of the City to submit a 2019 Annual Action Plan to the United States Department of Housing and Urban Development ("HUD"),https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11186
2018-2019,140,Cara Spencer,11/16/2018,Graduated Business License Tax,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11206
2018-2019,144,Jack Coatar,11/16/2018,Board of Elections Payment to Party,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11210
2018-2019,145,Jack Coatar,11/16/2018,Board of Elections Sample Ballot,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11211
2018-2019,108,Pam Boyd,11/09/2018,An Ordinance directing the Director of Streets to  		permanently close barricade or otherwise impede the flow of  		traffic on east/west alley-way in City Block 5000 Block bounded  		by Robin Lillian Riverview and Theodore at a point on said,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11169
